gene_id,gene_symbol,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
ENSG00000154237,Gm11703,45.67855673,11.48009864,28.5482277,20.64119694,22.30080875,18.56163455,43.10898747,33.4800938,23.98963644,38.91704121
ENSG00000297636,Gm15542,195.9102544,259.9422335,249.3771655,271.5946966,259.4327418,280.2806816,220.3348249,217.6206097,269.8834099,280.7586545
ENSG00000259755,Gm5466,7.105553269,15.58013387,6.717230046,12.49335605,20.07072787,4.454792291,13.41168499,8.37002345,8.996113663,5.559577316
ENSG00000287892,Gm15033,0,0,0,0.543189393,0,0,0,0.837002345,0,0
ENSG00000303930,Gm13176,0,0.820007046,0,0,0,0,0,0,0,0
ENSG00000184277,Rpl30-ps10,105.56822,34.44029592,78.08779929,40.1960151,47.57505866,38.60819985,58.43662746,70.30819698,63.97236383,75.05429377
ENSG00000252614,Gm15378,0,0,0.839653756,0.543189393,1.486720583,2.598628836,0.957977499,1.67400469,0,3.706384877
ENSG00000185418,Gm14776,0,0.820007046,2.518961267,0,0,0.371232691,0,0,0,0
ENSG00000289028,Gm15604,1.015079038,0,0,0,0,0,0,0,0,0
ENSG00000131876,Rpl35a-ps4,12.18094846,3.280028183,6.717230046,5.431893933,11.89376467,6.310955745,8.621797494,12.55503517,12.9943864,12.04575085
ENSG00000259172,Gm13992,0,0,0,0,0,0,0,0,0,0
ENSG00000140479,Gm15198,1.015079038,0.820007046,0.839653756,2.172757573,0,0.742465382,0,0.837002345,0.999568185,0
ENSG00000259764,Gm13437,1.015079038,0,0,0.543189393,0,0.742465382,0,0,0,0
ENSG00000293910,Gm12760,0,0.820007046,0.839653756,0.543189393,0,1.113698073,0.957977499,0,0,0.926596219
ENSG00000274139,Gm15824,1.015079038,0.820007046,0,0,0.743360292,1.113698073,0,4.185011725,0,0
ENSG00000289271,Gm5402,0,0.820007046,0,1.62956818,0,1.484930764,0,0.837002345,0,0
ENSG00000277210,Rpl7a-ps12,0,0.820007046,0,1.62956818,0,0.371232691,0,0,0,0
ENSG00000279970,Gm15519,5.075395192,83.64071867,48.69991784,74.41694688,110.7606835,81.671192,86.21797494,83.7002345,62.97279564,38.91704121
ENSG00000290355,Gm13487,4.060316154,3.280028183,6.717230046,3.25913636,2.230080875,2.969861527,7.663819995,5.859016415,2.998704554,3.706384877
ENSG00000233614,Gm13226,137.0356702,36.90031706,106.636027,44.54153025,43.11489691,56.05613633,69.93235745,95.41826733,84.96329571,123.2372972
ENSG00000306644,Gm5510,13.1960275,16.40014092,15.95342136,27.15946966,20.07072787,20.78903069,25.86539248,23.43606566,22.99006825,36.13725255
ENSG00000260803,Gm12182,1.015079038,5.740049321,6.717230046,0.543189393,3.716801458,2.598628836,3.831909997,7.533021105,3.998272739,3.706384877
ENSG00000231439,Gm12501,0,0,0,0,0,0,0,0,0,0
ENSG00000309539,Gm11652,6.09047423,28.7002466,22.67065141,27.15946966,26.7609705,26.72875375,28.73932498,28.45807973,28.98747736,13.89894329
ENSG00000234769,Gm9431,7.105553269,3.280028183,5.877576291,7.604651506,4.46016175,2.969861527,15.32763999,5.859016415,7.996545479,10.19255841
ENSG00000278739,Gm15267,4.060316154,4.920042275,8.396537558,5.975083326,4.46016175,4.454792291,11.49572999,7.533021105,5.997409109,6.486173535
ENSG00000226942,Gm5555,60.9047423,73.80063412,90.68260563,77.13289384,83.25635266,78.70133047,107.2934799,100.4402814,91.960273,88.02664084
ENSG00000161981,Rps8-ps2,78.16108596,25.42021842,76.40849178,48.88704539,37.16801458,51.97257673,81.42808745,67.79718994,65.9715002,114.8979312
ENSG00000161980,Gm14706,14.21110654,1.640014092,13.43446009,5.431893933,4.46016175,8.909584582,16.28561749,5.859016415,7.996545479,19.45852061
ENSG00000259553,Gm14044,53.79918904,18.04015501,44.50164906,18.46843937,20.07072787,17.07670378,54.60471746,36.82810318,37.98359102,58.37556182
ENSG00000290823,Gm8534,3.045237115,0,0,0,0,0,0,0,0,0
ENSG00000284557,Gm11784,0,0,0,0,0,0,2.873932498,0.837002345,0,0
ENSG00000290824,Gm11263,607.017265,188.6016205,369.4476526,202.0664543,204.4240802,190.4423704,433.9638072,297.9728348,422.8173422,363.225718
ENSG00000185596,Gm15470,0,0,0,1.62956818,0.743360292,1.856163455,0.957977499,0,0,0
ENSG00000248472,Gm14861,0,0,0,0.543189393,0,1.113698073,0,2.511007035,0,0
ENSG00000275449,Gm7541,4.060316154,2.460021137,0,4.888704539,5.203522041,2.969861527,0.957977499,2.511007035,2.998704554,2.779788658
ENSG00000294455,Gm12842,4.060316154,0.820007046,0,0.543189393,0.743360292,0,0,0.837002345,0,0
ENSG00000188536,Defa-ps4,0,0.820007046,0.839653756,0,0,0,0,0,0,0
ENSG00000294481,Gm12749,6.09047423,57.40049321,26.86892019,37.48006814,54.26530129,36.00957102,40.23505497,51.89414539,45.9801365,20.38511683
ENSG00000294436,Gm15321,2.030158077,0.820007046,1.679307512,2.715946966,0.743360292,1.484930764,1.915954999,0,0.999568185,1.853192439
ENSG00000206172,Gm13450,2.030158077,1.640014092,0.839653756,0,0,1.484930764,2.873932498,0.837002345,0.999568185,0.926596219
ENSG00000130656,H2-M6-ps,0,0,0,1.62956818,3.716801458,0.371232691,0.957977499,5.02201407,0.999568185,0
ENSG00000206177,Gm15808,8.120632307,4.100035229,0.839653756,7.061462113,2.973441167,8.1671192,6.705842496,9.207025795,10.99525003,7.412769755
ENSG00000206178,Gm12466,0,0,2.518961267,0,0,1.484930764,2.873932498,3.34800938,0,0
ENSG00000007392,Oat-rs1,0,0,0,0,0,0,0,0,0,0
ENSG00000007384,Tpt1-ps1,0,0,0.839653756,0,0,0.371232691,0,0,0,0.926596219
ENSG00000305760,Gm14516,0,1.640014092,0,0,0.743360292,0.371232691,0,0,0,0.926596219
